nombre_escuela,primer_ingreso_h,primer_ingreso_m,primer_ingreso_total,reingreso_h,reingreso_m,reingreso_total,repetidores_h,repetidores_m,repetidores_total,matricula_h,matricula_m,matricula_total,tipo
CECyT 1 ,"1,079",559,"1,638","1,401",918,"2,319",528,198,726,"3,008","1,675","4,683",mediasuperior
CECyT 10,"1,024",745,"1,769","1,429","1,456","2,885",0,0,0,"2,453","2,201","4,654",mediasuperior
CECyT 11,"1,217",787,"2,004","1,820","1,262","3,082",261,54,315,"3,298","2,103","5,401",mediasuperior
CECyT 12,551,649,"1,200","1,012","1,321","2,333",231,169,400,"1,794","2,139","3,933",mediasuperior
CECyT 13,918,731,"1,649","1,588","1,737","3,325",40,13,53,"2,546","2,481","5,027",mediasuperior
CECyT 14,573,587,"1,160",664,950,"1,614",72,65,137,"1,309","1,602","2,911",mediasuperior
CECyT 15,408,470,878,440,750,"1,190",220,139,359,"1,068","1,359","2,427",mediasuperior
CECyT 16,331,308,639,526,693,"1,219",155,115,270,"1,012","1,116","2,128",mediasuperior
CECyT 17,264,256,520,366,376,742,176,115,291,806,747,"1,553",mediasuperior
CECyT 18,141,119,260,236,216,452,54,12,66,431,347,778,mediasuperior
CECyT 19,451,365,816,478,403,881,60,17,77,989,785,"1,774",mediasuperior
CECyT 2 ,"1,156",657,"1,813","1,621","1,050","2,671",340,99,439,"3,117","1,806","4,923",mediasuperior
CECyT 3 ,"1,187",477,"1,664","1,651",808,"2,459",493,105,598,"3,331","1,390","4,721",mediasuperior
CECyT 4 ,"1,086",757,"1,843","1,605","1,133","2,738",261,72,333,"2,952","1,962","4,914",mediasuperior
CECyT 5 ,619,591,"1,210",737,959,"1,696",149,98,247,"1,505","1,648","3,153",mediasuperior
CECyT 6 ,684,930,"1,614",815,"1,650","2,465",267,389,656,"1,766","2,969","4,735",mediasuperior
CECyT 7 ,"1,357",613,"1,970","1,976",992,"2,968",221,45,266,"3,554","1,650","5,204",mediasuperior
CECyT 8 ,"1,094",414,"1,508","1,420",736,"2,156",414,164,578,"2,928","1,314","4,242",mediasuperior
CECyT 9 ,744,180,924,"1,142",331,"1,473",97,33,130,"1,983",544,"2,527",mediasuperior
CET1,820,377,"1,197",960,557,"1,517",338,86,424,"2,118","1,020","3,138",mediasuperior
CICS MILPA ALTA,135,335,470,816,"1,752","2,568",0,0,0,951,"2,087","3,038",superior
CICS SANTO TOMÁS,190,505,695,626,"1,790","2,416",30,98,128,846,"2,393","3,239",superior
ENBA,46,97,143,149,329,478,22,40,62,217,466,683,superior
ENCB,257,385,642,"1,811","2,833","4,644",0,0,0,"2,068","3,218","5,286",superior
ENMH,155,306,461,"1,369","2,496","3,865",1,2,3,"1,525","2,804","4,329",superior
ESCA SANTO TOMÁS,961,"1,335","2,296","3,379","4,763","8,142",0,0,0,"4,340","6,098","10,438",superior
ESCA TEPEPAN,974,"1,314","2,288","1,765","2,569","4,334",0,0,0,"2,739","3,883","6,622",superior
ESCOM,579,146,725,"1,761",344,"2,105",966,155,"1,121","3,306",645,"3,951",superior
ESE,391,280,671,"2,191","2,304","4,495",14,13,27,"2,596","2,597","5,193",superior
ESEO,23,140,163,247,"1,044","1,291",0,0,0,270,"1,184","1,454",superior
ESFM,238,87,325,730,241,971,450,163,613,"1,418",491,"1,909",superior
ESIA  TICOMÁN,155,118,273,903,752,"1,655",215,145,360,"1,273","1,015","2,288",superior
ESIA TECAMACHALCO,294,258,552,"2,558","1,813","4,371",0,0,0,"2,852","2,071","4,923",superior
ESIA ZACATENCO,539,234,773,"2,378","1,078","3,456","2,109",715,"2,824","5,026","2,027","7,053",superior
ESIME AZCAPOTZALCO,904,124,"1,028","3,457",646,"4,103","1,441",179,"1,620","5,802",949,"6,751",superior
ESIME CULHUACÁN,810,139,949,"2,689",568,"3,257","1,505",245,"1,750","5,004",952,"5,956",superior
ESIME TICOMÁN,176,37,213,"1,098",240,"1,338",320,59,379,"1,594",336,"1,930",superior
ESIME ZACATENCO,"1,764",332,"2,096","7,000","1,590","8,590","1,535",270,"1,805","10,299","2,192","12,491",superior
ESIQIE,419,371,790,"3,235","2,689","5,924",0,0,0,"3,654","3,060","6,714",superior
ESIT,127,341,468,251,678,929,39,46,85,417,"1,065","1,482",superior
ESM,147,254,401,"1,547","2,342","3,889",122,156,278,"1,816","2,752","4,568",superior
EST,397,515,912,882,"1,947","2,829",0,0,0,"1,279","2,462","3,741",superior
UPIBI,159,237,396,"1,202","1,733","2,935",13,12,25,"1,374","1,982","3,356",superior
UPIEM,97,77,174,366,342,708,0,0,0,463,419,882,superior
UPIIC,54,18,72,147,49,196,0,0,0,201,67,268,superior
UPIICSA,"1,135",651,"1,786","3,396","2,393","5,789","2,940","1,582","4,522","7,471","4,626","12,097",superior
UPIIG,235,137,372,990,481,"1,471",942,500,"1,442","2,167","1,118","3,285",superior
UPIIH,137,18,155,228,47,275,351,45,396,716,110,826,superior
UPIIP,73,51,124,78,66,144,0,0,0,151,117,268,superior
UPIIT,102,43,145,166,80,246,59,12,71,327,135,462,superior
UPIITA,398,120,518,29,1,30,"2,355",556,"2,911","2,782",677,"3,459",superior
UPIIZ,133,68,201,530,253,783,11,4,15,674,325,999,superior